CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1506807;Estadual;5.1
1506807;Municipal;4.5
1506807;Pública;4.7
1506906;Municipal;4.0
1506906;Pública;4.0
1507003;Municipal;3.8
1507003;Pública;3.8
1507102;Estadual;4.3
1507102;Municipal;3.9
1507102;Pública;4.0
1507151;Estadual;
1507151;Municipal;3.5
1507151;Pública;3.5
1507201;Estadual;4.1
1507201;Municipal;3.5
1507201;Pública;3.6
1507300;Municipal;3.2
1507300;Pública;3.2
1507409;Municipal;3.9
1507409;Pública;3.9
1507458;Municipal;4.5
1507458;Pública;4.5
1507466;Municipal;3.3
1507466;Pública;3.3
1507474;Municipal;
1507474;Pública;
1507508;Municipal;3.4
1507508;Pública;3.4
1507607;Municipal;3.6
1507607;Pública;3.6
1507706;Estadual;
1507706;Municipal;4.5
1507706;Pública;4.5
1507755;Municipal;3.5
1507755;Pública;3.5
1507805;Municipal;3.9
1507805;Pública;3.9
1507904;Estadual;4.1
1507904;Municipal;3.9
1507904;Pública;4.0
1507953;Municipal;3.8
1507953;Pública;3.8
1507961;Estadual;4.5
1507961;Municipal;4.4
1507961;Pública;4.4
1507979;Municipal;4.8
1507979;Pública;4.8
1508001;Municipal;4.5
1508001;Pública;4.5
1508035;Estadual;
1508035;Municipal;3.3
1508035;Pública;3.3
1508050;Municipal;3.5
1508050;Pública;3.5
1508084;Municipal;3.9
1508084;Pública;3.9
1508100;Municipal;4.1
1508100;Pública;4.1
1508126;Municipal;5.2
1508126;Pública;5.2
1508159;Municipal;4.7
1508159;Pública;4.7
1508209;Estadual;4.1
1508209;Municipal;3.7
1508209;Pública;4.0
1508308;Municipal;4.2
1508308;Pública;4.2
1508357;Municipal;4.9
1508357;Pública;4.9
1508407;Municipal;4.2
1508407;Pública;4.2
1600055;Estadual;
1600055;Pública;
1600105;Estadual;3.8
1600105;Pública;3.8
1600154;Estadual;
1600154;Pública;
1600204;Estadual;3.6
1600204;Pública;3.6
1600212;Estadual;3.9
1600212;Pública;3.9
1600238;Estadual;
1600238;Municipal;3.8
1600238;Pública;3.8
1600253;Estadual;
1600253;Pública;
1600279;Estadual;3.7
1600279;Municipal;3.6
1600279;Pública;3.6
1600303;Estadual;4.1
1600303;Municipal;
1600303;Pública;4.1
1600402;Estadual;4.0
1600402;Pública;4.0
1600501;Estadual;3.9
1600501;Municipal;3.6
1600501;Pública;3.8
1600535;Estadual;4.5
1600535;Municipal;4.4
1600535;Pública;4.4
1600550;Estadual;3.2
1600550;Pública;3.2
1600600;Estadual;4.4
1600600;Municipal;3.6
1600600;Pública;4.4
1600709;Estadual;3.9
1600709;Pública;3.9
1600808;Estadual;4.1
1600808;Municipal;3.7
1600808;Pública;3.9
1700251;Estadual;4.9
1700251;Pública;4.9
1700301;Estadual;5.0
1700301;Municipal;4.2
1700301;Pública;4.7
1700350;Estadual;5.0
1700350;Municipal;5.2
1700350;Pública;5.1
1700400;Estadual;4.5
1700400;Pública;4.5
1700707;Estadual;5.5
1700707;Municipal;5.2
1700707;Pública;5.3
1701002;Estadual;4.7
1701002;Pública;4.7
1701051;Estadual;4.4
1701051;Municipal;
1701051;Pública;4.4
1701101;Estadual;4.4
1701101;Municipal;4.7
1701101;Pública;4.6
1701309;Estadual;4.2
1701309;Pública;4.2
1701903;Estadual;4.2
1701903;Municipal;
1701903;Pública;4.2
1702000;Estadual;5.4
1702000;Municipal;5.1
1702000;Pública;5.2
1702109;Estadual;4.9
1702109;Municipal;
1702109;Pública;4.9
1702158;Estadual;3.9
1702158;Pública;3.9
1702208;Estadual;4.8
1702208;Municipal;
1702208;Pública;4.7
1702307;Estadual;4.8
1702307;Municipal;
1702307;Pública;4.8
1702406;Estadual;5.2
1702406;Municipal;
1702406;Pública;5.1
1702554;Estadual;4.6
1702554;Pública;4.6
1702703;Estadual;5.1
1702703;Pública;5.0
1702901;Estadual;4.7
1702901;Municipal;4.0
1702901;Pública;4.2
1703008;Estadual;4.0
1703008;Municipal;
1703008;Pública;4.0
1703057;Estadual;3.8
1703057;Municipal;4.6
1703057;Pública;4.3
1703073;Estadual;3.9
1703073;Pública;3.9
1703107;Estadual;5.0
1703107;Pública;5.0
1703206;Estadual;4.2
1703206;Municipal;4.1
1703206;Pública;4.1
1703305;Estadual;4.1
1703305;Municipal;
1703305;Pública;4.1
1703602;Estadual;4.4
1703602;Pública;4.4
1703701;Estadual;4.7
1703701;Municipal;4.7
1703701;Pública;4.7
1703800;Estadual;4.5
1703800;Pública;4.5
1703826;Estadual;4.1
1703826;Pública;4.0
1703842;Estadual;4.3
1703842;Municipal;3.4
1703842;Pública;3.6
1703867;Estadual;4.5
1703867;Municipal;4.9
1703867;Pública;4.7
1703883;Estadual;
1703883;Municipal;4.4
1703883;Pública;4.5
1703891;Estadual;4.3
1703891;Municipal;4.0
1703891;Pública;4.2
1703909;Estadual;4.6
1703909;Pública;4.6
1704105;Estadual;3.9
1704105;Municipal;3.9
1704105;Pública;3.9
1704600;Municipal;4.2
1704600;Pública;4.2
1705102;Estadual;4.0
1705102;Pública;4.0
1705508;Estadual;5.4
1705508;Municipal;4.5
1705508;Pública;5.2
1705557;Estadual;5.1
1705557;Pública;5.1
1705607;Estadual;4.1
1705607;Pública;4.1
1706001;Estadual;5.3
1706001;Municipal;
1706001;Pública;5.0
1706100;Estadual;4.8
1706100;Pública;4.8
1706258;Estadual;3.9
1706258;Municipal;
1706258;Pública;3.9
1706506;Estadual;4.7
1706506;Pública;4.7
1707009;Estadual;4.7
1707009;Municipal;
1707009;Pública;4.7
1707108;Estadual;5.1
1707108;Municipal;
1707108;Pública;5.1
1707207;Estadual;4.3
1707207;Municipal;
1707207;Pública;4.2
1707306;Estadual;4.2
1707306;Pública;4.2
1707405;Estadual;4.1
1707405;Municipal;3.0
1707405;Pública;3.6
1707553;Estadual;4.7
1707553;Pública;4.7
1707652;Estadual;3.4
1707652;Pública;3.4
1707702;Estadual;4.3
1707702;Pública;4.2
1708205;Estadual;5.1
1708205;Municipal;4.1
1708205;Pública;4.7
1708254;Estadual;4.6
1708254;Municipal;4.2
1708254;Pública;4.3
1708304;Estadual;4.4
1708304;Pública;4.4
1709005;Estadual;3.6
1709005;Municipal;3.5
1709005;Pública;3.6
1709302;Estadual;4.6
1709302;Municipal;
1709302;Pública;4.7
1709500;Estadual;5.7
1709500;Municipal;4.5
1709500;Pública;5.3
1709807;Estadual;4.1
1709807;Municipal;
1709807;Pública;3.7
1710508;Estadual;5.2
1710508;Pública;5.2
1710706;Estadual;4.3
1710706;Municipal;4.0
1710706;Pública;4.1
1710904;Estadual;4.4
1710904;Pública;4.4
1711100;Estadual;5.2
1711100;Municipal;
1711100;Pública;5.2
1711506;Municipal;
1711506;Pública;
1711803;Estadual;4.3
1711803;Pública;4.2
1711902;Estadual;4.2
1711902;Municipal;3.7
1711902;Pública;3.9
1711951;Estadual;4.6
1711951;Municipal;
1711951;Pública;4.5
1712009;Estadual;4.5
1712009;Municipal;
1712009;Pública;4.8
1712157;Estadual;4.9
1712157;Pública;4.9
1712405;Estadual;3.5
1712405;Municipal;
1712405;Pública;3.5
1712454;Estadual;4.7
1712454;Pública;4.7
1712504;Estadual;4.6
1712504;Municipal;
1712504;Pública;4.4
1712702;Estadual;3.8
1712702;Pública;3.8
1712801;Estadual;4.7
1712801;Municipal;3.9
1712801;Pública;4.1
1713205;Estadual;4.6
1713205;Municipal;
1713205;Pública;4.6
1713304;Estadual;4.0
1713304;Municipal;
1713304;Pública;4.0
1713601;Estadual;4.2
1713601;Municipal;
1713601;Pública;4.2
1713700;Municipal;4.5
1713700;Pública;4.5
1713809;Estadual;4.5
1713809;Pública;4.5
1713957;Estadual;4.0
1713957;Pública;4.0
1714203;Estadual;5.1
1714203;Municipal;
1714203;Pública;5.1
1714302;Estadual;4.9
1714302;Municipal;
1714302;Pública;4.8
1714880;Estadual;4.5
1714880;Municipal;
1714880;Pública;4.4
1715002;Estadual;5.1
1715002;Pública;5.1
1715101;Estadual;4.3
1715101;Municipal;
1715101;Pública;4.3
1715150;Estadual;5.3
1715150;Pública;5.3
1715259;Estadual;4.2
1715259;Pública;4.2
1715507;Estadual;4.8
1715507;Municipal;5.0
1715507;Pública;4.8
1715705;Estadual;3.8
1715705;Pública;3.8
1715754;Estadual;5.4
1715754;Pública;5.4
1716109;Estadual;5.2
1716109;Municipal;
1716109;Pública;5.2
1716208;Estadual;4.5
1716208;Municipal;
1716208;Pública;4.4
1716307;Estadual;4.5
1716307;Municipal;
1716307;Pública;4.5
