CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
2104008;Pública;4.1
2104057;Estadual;4.0
2104057;Pública;4.0
2104073;Estadual;4.1
2104073;Pública;4.1
2104081;Estadual;
2104081;Pública;
2104099;Estadual;3.8
2104099;Pública;3.8
2104107;Estadual;4.4
2104107;Pública;4.4
2104206;Estadual;4.0
2104206;Pública;4.0
2104305;Estadual;
2104305;Pública;
2104404;Estadual;4.0
2104404;Pública;4.0
2104503;Estadual;3.5
2104503;Pública;3.5
2104552;Estadual;3.8
2104552;Pública;3.8
2104602;Estadual;3.7
2104602;Pública;3.7
2104628;Estadual;3.9
2104628;Pública;3.9
2104651;Estadual;3.3
2104651;Pública;3.3
2104677;Estadual;
